code,name,预低
001309,德明利,-1.2055654526
002983,芯瑞达,-1.617131114
600703,三安光电,-0.831751585
603685,晨丰科技,-0.6459382772
603303,得邦照明,-1.4698966742
600651,飞乐音响,-0.9310021996
002745,木林森,-0.7485147715
002449,国星光电,-0.4662227631
002137,实益达,-0.889572084
605365,立达信,-1.1182544231
603515,欧普照明,-1.0172567368
000541,佛山照明,-0.6837674975
002587,奥拓电子,-0.8518345356
002654,万润科技,-2.0976643562
002076,星光股份,-2.6140413284
002992,宝明科技,-1.1067621708
600261,阳光照明,-0.8483577371
002723,小崧股份,-0.8948850632
603679,华体科技,-2.8647284508
002638,勤上股份,-1.0933606625
002036,联创电子,-2.1309707165
002273,水晶光电,-1.8189138174
002222,福晶科技,-3.0534319878
600071,凤凰光学,-1.1195583344
605588,冠石科技,-2.0857768059
603297,永新光学,-1.1077040434
002456,欧菲光,7.2253465652
001373,翔腾新材,-0.1841178536
002962,五方光电,-0.866004765
003015,日久光电,3.5326752663
000536,华映科技,-1.6104563475
603703,盛洋科技,-1.0520193577
000050,深天马Ａ,-0.8334389925
002106,莱宝高科,-0.6710227728
002387,维信诺,-1.9684691429
002876,三利谱,-1.3814647198
600707,彩虹股份,-1.1294128895
000725,京东方Ａ,-1.255817771
002955,鸿合科技,-1.3055040836
003019,宸展光电,-0.7199941874
000727,冠捷科技,-1.181784749
000509,华塑控股,-1.5596494675
002845,同兴达,-3.3808326721
001308,康冠科技,-0.882373035
002765,蓝黛科技,-0.7467559576
000045,深纺织Ａ,-0.8663789034
000100,TCL科技,-1.2958505154
600552,凯盛科技,-2.8016309738
605218,伟时电子,-2.3656806946
