code,name,流通市值,市盈率,昨收,昨高,昨低,涨停次数,连板次数,industry,industry_sub,可能退市,营业收入,净利润,融资融券,zhuan,债券代码
000400,许继电气,34968548316.0,28.14,30.56,31.12,29.61,2.0,1.0,电网设备,电气自控设备,0,170.6089656304,1186017918.33,0.0,,
603556,海兴电力,23217378740.0,21.77,43.0,43.73,41.83,6.0,0.0,电网设备,电气自控设备,0,42.0035031837,982343683.03,1.0,,
600268,国电南自,6830333809.0,64.5,6.55,6.62,6.47,4.0,0.0,电网设备,电气自控设备,0,76.2330386082,409728067.26,1.0,,
603050,科林电气,6570287658.0,23.14,22.85,23.17,22.35,7.0,0.0,电网设备,电气自控设备,0,39.0451850093,305365142.17,1.0,,
002546,新联电子,3012632681.0,-37.98,3.61,3.65,3.56,4.0,3.0,电网设备,电气自控设备,0,6.1849749154,59347134.09,0.0,,
002169,智光电气,4225813996.0,-24.16,5.78,6.16,5.76,2.0,0.0,电网设备,电气自控设备,0,27.3409883007,32105534.39,0.0,,
002090,金智科技,3326547101.0,59.6,8.05,8.18,7.94,5.0,0.0,电网设备,电气自控设备,0,16.1642609092,62510936.24,0.0,,
002980,华盛昌,1771411644.0,25.61,26.29,26.55,25.72,18.0,3.0,电网设备,电气自控设备,0,6.6984726045,107699560.13,0.0,,
002339,积成电子,3198341275.0,-20.48,6.34,6.38,6.21,15.0,3.0,电网设备,电气自控设备,0,23.8656298938,77286917.05,0.0,,
002121,科陆电子,5879674097.0,-87.92,4.01,4.09,3.86,5.0,0.0,电网设备,电气自控设备,1,41.9996515246,-119272820.49,0.0,,
002857,三晖电气,1406720000.0,-45.42,11.02,11.35,10.71,15.0,6.0,电网设备,电气自控设备,0,3.2615682227,12944711.92,0.0,,
600869,远东股份,10142442049.0,-39.08,4.19,4.23,4.13,8.0,0.0,电网设备,线缆部件及其他,0,244.6475272553,579251462.07,1.0,,
603606,东方电缆,37136629872.0,28.83,48.85,49.61,47.52,4.0,0.0,电网设备,线缆部件及其他,0,73.1004401846,1000039507.51,1.0,,
600577,精达股份,11660993067.0,20.18,5.34,5.46,5.2,6.0,1.0,电网设备,线缆部件及其他,0,179.0586523594,438657915.32,1.0,1.0,110074.0
002606,大连电瓷,4278803279.0,28.22,10.13,10.22,9.78,3.0,0.0,电网设备,线缆部件及其他,0,8.3950004018,179959410.65,0.0,,
002533,金杯电工,6648361086.0,13.88,9.59,9.71,9.49,2.0,0.0,电网设备,线缆部件及其他,0,152.9308470841,591495248.78,0.0,,
600973,宝胜股份,5485464992.0,147.0,3.84,3.89,3.8,3.0,0.0,电网设备,线缆部件及其他,0,437.9833748194,64381303.22,1.0,,
002560,通达股份,2785471542.0,43.96,5.88,5.92,5.78,6.0,3.0,电网设备,线缆部件及其他,0,55.7321174214,98399918.89,0.0,,
002276,万马股份,8100971688.0,19.88,7.33,7.43,7.25,4.0,0.0,电网设备,线缆部件及其他,0,151.2100213817,560813222.02,0.0,,
603618,杭电股份,3463791836.0,24.61,4.83,4.85,4.72,4.0,0.0,电网设备,线缆部件及其他,0,73.6584228737,152424147.34,1.0,,
002879,长缆科技,1927618390.0,30.75,13.25,13.38,13.1,3.0,0.0,电网设备,线缆部件及其他,0,10.421707222,72132632.03,0.0,,
002471,中超控股,3113922868.0,-83.63,2.4,2.43,2.33,5.0,1.0,电网设备,线缆部件及其他,0,61.1100720803,248656201.49,0.0,,
002692,远程股份,2799673403.0,32.82,3.87,3.94,3.84,6.0,1.0,电网设备,线缆部件及其他,0,32.0148597987,67956900.64,0.0,,
002498,汉缆股份,11577250080.0,15.14,3.23,3.27,3.18,1.0,0.0,电网设备,线缆部件及其他,0,96.5803819484,777762807.38,0.0,,
603577,汇金通,2624936634.0,23.89,7.46,7.52,7.32,7.0,3.0,电网设备,线缆部件及其他,0,40.9372920845,42162132.52,0.0,,
